Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
369,0 <= 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,real estate,40,none,rent,One,skilled employee / official,One,none,yes,Good
370,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Four,real estate,36,none,own,One,skilled employee / official,One,none,yes,Good
371,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,... < 100 DM,... >= 7 years,Three,male: single,none,Four,car or other,33,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
372,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Three,real estate,23,none,rent,Two,skilled employee / official,One,none,yes,Good
373,no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/no savings account,... >= 7 years,Two,male: single,none,Four,unknown / no property,63,bank,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
374,0 <= 200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... < 500 DM,... >= 7 years,Three,female: divorced/separated/married,none,Four,unknown / no property,60,bank,for free,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
375,... < 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,guarantor,Four,car or other,37,none,rent,One,skilled employee / official,One,none,yes,Bad
376,no checking account,18,delay in paying off in the past,radio/television,2320,... < 100 DM,unemployed,Two,male: married/widowed,none,Three,real estate,34,none,own,Two,skilled employee / official,One,none,yes,Good
377,no checking account,7,delay in paying off in the past,radio/television,846,unknown/no savings account,... >= 7 years,Three,male: single,none,Four,unknown / no property,36,none,for free,One,skilled employee / official,One,none,yes,Good
378,0 <= 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,... >= 7 years,Four,male: single,none,Two,unknown / no property,57,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
379,no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,52,none,own,Two,unskilled - resident,One,none,yes,Good
380,... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Four,car or other,39,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
381,0 <= 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,Three,female: divorced/separated/married,none,Four,unknown / no property,38,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
382,no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,25,none,rent,One,skilled employee / official,One,none,yes,Good
383,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,... < 100 DM,... < 1 year,Four,male: single,none,One,real estate,26,none,own,One,skilled employee / official,One,none,yes,Good
384,no checking account,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,male: single,none,Two,building society savings agreement/life insurance,26,none,own,Two,unskilled - resident,One,none,yes,Good
385,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,One,car or other,25,none,own,Two,skilled employee / official,One,none,yes,Good
386,no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown/no savings account,... < 1 year,Four,female: divorced/separated/married,none,Two,real estate,21,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
387,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,7374,... < 100 DM,unemployed,Four,male: single,none,Four,building society savings agreement/life insurance,40,stores,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
388,0 <= 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,male: single,none,Four,car or other,27,bank,own,One,skilled employee / official,One,none,yes,Good
389,no checking account,9,existing credits paid back duly till now,business,1449,... < 100 DM,4 <= ... < 7 years,Three,female: divorced/separated/married,none,Two,car or other,27,none,own,Two,skilled employee / official,One,none,yes,Good
390,no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM, 1 <= ... < 4 years,Two,male: married/widowed,none,Two,building society savings agreement/life insurance,30,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
391,0 <= 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,... >= 1000 DM,... < 1 year,One,female: divorced/separated/married,none,Four,real estate,19,none,rent,One,unskilled - resident,One,none,yes,Good
392,... < 0 DM,36,existing credits paid back duly till now,car (new),3249,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Four,unknown / no property,39,bank,for free,One,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
393,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,... < 100 DM,4 <= ... < 7 years,One,female: divorced/separated/married,none,Four,car or other,31,none,own,One,skilled employee / official,One,none,yes,Good
394,no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,... < 100 DM,unemployed,Two,male: single,none,Three,car or other,31,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
395,0 <= 200 DM,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,Two,male: single,none,Three,unknown / no property,32,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
396,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,... < 100 DM,unemployed,Three,female: divorced/separated/married,none,Four,unknown / no property,55,none,for free,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
397,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,2348,... < 100 DM, 1 <= ... < 4 years,Three,male: married/widowed,none,Two,building society savings agreement/life insurance,46,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
398,0 <= 200 DM,12,existing credits paid back duly till now,car (new),1223,... < 100 DM,... >= 7 years,One,male: divorced/separated,none,One,real estate,46,none,rent,Two,skilled employee / official,One,none,yes,Bad
399,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1516,... >= 1000 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,One,real estate,43,none,own,Two,unskilled - resident,One,none,yes,Good
400,no checking account,18,existing credits paid back duly till now,radio/television,1473,... < 100 DM,... < 1 year,Three,male: married/widowed,none,Four,real estate,39,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
401,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/no savings account, 1 <= ... < 4 years,Four,male: married/widowed,none,Four,real estate,28,bank,own,Two,skilled employee / official,One,none,yes,Good
402,no checking account,24,delay in paying off in the past,business,8648,... < 100 DM,... < 1 year,Two,male: single,none,Two,car or other,27,bank,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
403,no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,27,none,own,Two,unskilled - resident,One,none,yes,Good
404,0 <= 200 DM,18,delay in paying off in the past,car (new),2899,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,car or other,43,none,own,One,skilled employee / official,Two,none,yes,Good
405,0 <= 200 DM,24,existing credits paid back duly till now,radio/television,2039,... < 100 DM,... < 1 year,One,male: married/widowed,none,One,building society savings agreement/life insurance,22,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
406,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Four,car or other,43,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
407,... < 0 DM,15,existing credits paid back duly till now,radio/television,1053,... < 100 DM,... < 1 year,Four,male: married/widowed,none,Two,real estate,27,none,own,One,skilled employee / official,One,none,no,Good
408,no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,... >= 7 years,Three,male: divorced/separated,none,Two,car or other,26,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
409,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,Four,male: married/widowed,none,Two,real estate,28,none,own,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
410,0 <= 200 DM,24,existing credits paid back duly till now,radio/television,1967,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Four,car or other,20,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
